"subjID"	"Response"	"category"	"word_code"	"meaning"	"value"
"19730317NDGA"	"small"	"1"	"yf1nu15"	"small"	"good"
"19730317NDGA"	"small"	"1"	"turm1nu1"	"big"	"good_op"
"19730317NDGA"	"big"	"1"	"yf1nu5"	"big"	"good"
"19730317NDGA"	"big"	"1"	"kf1nu14"	"small"	"good_op"
"19730317NDGA"	"big"	"1"	"kf1nu5"	"big"	"good"
"19730317NDGA"	"small"	"1"	"yf1nu10"	"small"	"good"
"19730317NDGA"	"big"	"1"	"turm1nu7"	"big"	"good"
"19730317NDGA"	"small"	"1"	"rm1nu6"	"big"	"good"
"19730317NDGA"	"small"	"1"	"if1nu13"	"small"	"good"
"19730317NDGA"	"big"	"1"	"kf1nu26"	"small"	"good_op"
"19730317NDGA"	"big"	"1"	"if1nu1"	"big"	"good"
"19730317NDGA"	"big"	"1"	"if1nu3"	"big"	"good"
"19730317NDGA"	"small"	"1"	"yf1nu11"	"small"	"good"
"19730317NDGA"	"small"	"1"	"tamf1nu9"	"small"	"good"
"19730317NDGA"	"big"	"1"	"mm1nu5"	"big"	"good"
"19730317NDGA"	"big"	"1"	"yf1nu4"	"big"	"good"
"19730317NDGA"	"big"	"1"	"gm1nu4"	"big"	"good"
"19730317NDGA"	"small"	"1"	"if1nu14"	"small"	"good"
"19730317NDGA"	"small"	"1"	"am1nu1"	"big"	"good"
"19730317NDGA"	"big"	"1"	"gm1nu3"	"big"	"good"
"19730317NDGA"	"small"	"1"	"mm1nu3"	"big"	"good"
"19730317NDGA"	"small"	"1"	"mm1nu7"	"big"	"good"
"19730317NDGA"	"small"	"1"	"rm1nu3"	"big"	"good"
"19730317NDGA"	"small"	"1"	"yf1nu13"	"small"	"good"
"19730317NDGA"	"small"	"1"	"tamf1nu11"	"small"	"good"
"19730317NDGA"	"small"	"1"	"turm1nu10"	"small"	"good"
"19730317NDGA"	"small"	"1"	"mm1nu13"	"small"	"good"
"19730317NDGA"	"small"	"1"	"yf1nu9"	"small"	"good"
"19730317NDGA"	"small"	"1"	"turm1nu12"	"small"	"good_op"
"19730317NDGA"	"big"	"1"	"tamf1nu7"	"small"	"good"
"19730317NDGA"	"big"	"1"	"am1nu15"	"small"	"good"
"19730317NDGA"	"small"	"1"	"if1nu10"	"small"	"good"
"19730317NDGA"	"big"	"1"	"tamf1nu2"	"big"	"good_op"
"19730317NDGA"	"big"	"1"	"tamf1nu8"	"small"	"good"
"19730317NDGA"	"big"	"1"	"kf1nu3"	"big"	"good"
"19730317NDGA"	"small"	"1"	"dm1nu14"	"small"	"good"
"19730317NDGA"	"big"	"1"	"kf1nu6"	"big"	"good"
"19730317NDGA"	"small"	"1"	"if1nu12"	"small"	"good"
"19730317NDGA"	"big"	"1"	"am1nu8"	"big"	"good"
"19730317NDGA"	"small"	"1"	"rm1nu13"	"small"	"good"
"19730317NDGA"	"small"	"1"	"dm1nu3"	"big"	"good_op"
"19730317NDGA"	"big"	"1"	"mm1nu1"	"big"	"good"
"19730317NDGA"	"small"	"1"	"rm1nu21"	"small"	"good"
"19730317NDGA"	"small"	"1"	"kf1nu25"	"small"	"good_op"
"19730317NDGA"	"big"	"1"	"rm1nu7"	"big"	"good_op"
"19730317NDGA"	"small"	"1"	"gm1nu7"	"small"	"good"
"19730317NDGA"	"big"	"1"	"kf1nu4"	"big"	"good"
"19730317NDGA"	"big"	"1"	"kf1nu15"	"small"	"good_op"
"19730317NDGA"	"small"	"1"	"mm1nu8"	"big"	"good"
"19730317NDGA"	"small"	"1"	"dm1nu10"	"small"	"good"
"19730317NDGA"	"big"	"1"	"kf1nu7"	"big"	"good"
"19730317NDGA"	"big"	"1"	"turm1nu5"	"big"	"good"
"19730317NDGA"	"bright"	"3"	"tamf1nu25"	"dark"	"good"
"19730317NDGA"	"dark"	"3"	"rm1nu50"	"dark"	"good"
"19730317NDGA"	"bright"	"3"	"gm1nu22"	"dark"	"good_op"
"19730317NDGA"	"bright"	"3"	"if1nu40"	"bright"	"good"
"19730317NDGA"	"bright"	"3"	"tamf1nu34"	"bright"	"good"
"19730317NDGA"	"bright"	"3"	"kf1nu65"	"bright"	"good"
"19730317NDGA"	"dark"	"3"	"gm1nu28"	"bright"	"good_op"
"19730317NDGA"	"bright"	"3"	"tamf1nu31"	"dark"	"good_op"
"19730317NDGA"	"bright"	"3"	"am1nu47"	"bright"	"good"
