"subjID"	"Response"	"category"	"word_code"	"meaning"	"value"
"19780909____"	"bright"	"3"	"tamf1nu33"	"bright"	"good"
"19780909____"	"dark"	"3"	"kf1nu52"	"dark"	"good"
"19780909____"	"bright"	"3"	"rm1nu52"	"bright"	"good"
"19780909____"	"dark"	"3"	"am1nu38"	"dark"	"good"
"19780909____"	"dark"	"3"	"turm1nu38"	"dark"	"good"
"19780909____"	"dark"	"3"	"if1nu40"	"bright"	"good"
"19780909____"	"dark"	"3"	"if1nu35"	"bright"	"good_op"
"19780909____"	"dark"	"3"	"mm1nu38"	"dark"	"good"
"19780909____"	"bright"	"3"	"kf1nu45"	"dark"	"good_op"
"19780909____"	"bright"	"3"	"tamf1nu34"	"bright"	"good"
"19780909____"	"dark"	"3"	"rm1nu50"	"dark"	"good"
"19780909____"	"dark"	"3"	"rm1nu40"	"dark"	"good"
"19780909____"	"dark"	"3"	"if1nu31"	"dark"	"good"
"19780909____"	"bright"	"3"	"am1nu47"	"bright"	"good"
"19780909____"	"dark"	"3"	"rm1nu44"	"dark"	"good"
"19780909____"	"bright"	"3"	"gm1nu26"	"bright"	"good_op"
"19780909____"	"bright"	"3"	"rm1nu49"	"dark"	"good"
"19780909____"	"bright"	"3"	"mm1nu48"	"bright"	"good"
"19780909____"	"bright"	"3"	"mm1nu42"	"bright"	"good"
"19780909____"	"bright"	"3"	"tamf1nu25"	"dark"	"good"
"19780909____"	"bright"	"3"	"rm1nu54"	"bright"	"good"
"19780909____"	"bright"	"3"	"mm1nu43"	"bright"	"good"
"19780909____"	"dark"	"3"	"turm1nu37"	"dark"	"good"
"19780909____"	"bright"	"3"	"mm1nu39"	"dark"	"good_op"
"19780909____"	"dark"	"3"	"kf1nu62"	"bright"	"good"
"19780909____"	"dark"	"3"	"if1nu33"	"dark"	"good"
"19780909____"	"dark"	"3"	"mm1nu44"	"bright"	"good"
"19780909____"	"dark"	"3"	"gm1nu22"	"dark"	"good_op"
"19780909____"	"dark"	"3"	"turm1nu34"	"dark"	"good"
"19780909____"	"bright"	"3"	"turm1nu43"	"bright"	"good_op"
"19780909____"	"bright"	"3"	"mm1nu41"	"bright"	"good"
"19780909____"	"bright"	"3"	"tamf1nu32"	"bright"	"good"
"19780909____"	"dark"	"3"	"dm1nu29"	"dark"	"good"
"19780909____"	"bright"	"3"	"gm1nu28"	"bright"	"good_op"
"19780909____"	"bright"	"3"	"tamf1nu31"	"dark"	"good_op"
"19780909____"	"dark"	"3"	"yf1nu24"	"dark"	"good"
"19780909____"	"bright"	"3"	"am1nu37"	"dark"	"good_op"
"19780909____"	"dark"	"3"	"yf1nu25"	"bright"	"good_op"
"19780909____"	"dark"	"3"	"dm1nu31"	"dark"	"good"
"19780909____"	"bright"	"3"	"kf1nu71"	"bright"	"good"
"19780909____"	"bright"	"3"	"mm1nu36"	"dark"	"good_op"
"19780909____"	"bright"	"3"	"kf1nu61"	"bright"	"good"
"19780909____"	"dark"	"3"	"am1nu48"	"bright"	"good_op"
"19780909____"	"bright"	"3"	"turm1nu41"	"dark"	"good_op"
"19780909____"	"bright"	"3"	"kf1nu65"	"bright"	"good"
"19780909____"	"bright"	"3"	"mm1nu37"	"dark"	"good_op"
"19780909____"	"dark"	"3"	"mm1nu34"	"dark"	"good_op"
"19780909____"	"dark"	"3"	"am1nu42"	"dark"	"good_op"
"19780909____"	"small"	"1"	"mm1nu3"	"big"	"good"
"19780909____"	"big"	"1"	"yf1nu11"	"small"	"good"
"19780909____"	"big"	"1"	"gm1nu3"	"big"	"good"
"19780909____"	"small"	"1"	"turm1nu7"	"big"	"good"
"19780909____"	"big"	"1"	"if1nu1"	"big"	"good"
"19780909____"	"small"	"1"	"yf1nu9"	"small"	"good"
"19780909____"	"small"	"1"	"turm1nu12"	"small"	"good_op"
"19780909____"	"big"	"1"	"yf1nu13"	"small"	"good"
"19780909____"	"big"	"1"	"am1nu1"	"big"	"good"
"19780909____"	"big"	"1"	"am1nu8"	"big"	"good"
"19780909____"	"small"	"1"	"tamf1nu11"	"small"	"good"
"19780909____"	"big"	"1"	"kf1nu7"	"big"	"good"
"19780909____"	"small"	"1"	"am1nu15"	"small"	"good"
"19780909____"	"big"	"1"	"mm1nu7"	"big"	"good"
"19780909____"	"big"	"1"	"yf1nu5"	"big"	"good"
"19780909____"	"small"	"1"	"tamf1nu2"	"big"	"good_op"
"19780909____"	"small"	"1"	"mm1nu13"	"small"	"good"
"19780909____"	"small"	"1"	"dm1nu3"	"big"	"good_op"
"19780909____"	"small"	"1"	"tamf1nu8"	"small"	"good"
"19780909____"	"big"	"1"	"if1nu13"	"small"	"good"
"19780909____"	"small"	"1"	"dm1nu14"	"small"	"good"
"19780909____"	"big"	"1"	"if1nu10"	"small"	"good"
